"ogrn","inn","kpp","full_name","name","okved"
1120545000564,"0545025518","055401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОТЕЛЕКОМ""","ООО ""ЕВРОТЕЛЕКОМ""","61.10"
1120546000519,"0516011359","051601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАУТИНА""","ООО ""ПАУТИНА""","61.1"
1120546000630,"0546022277","054601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАГАТ-2012""","ООО ""БАГАТ-2012""","61.10"
1147746419380,"7705558213","770501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИНДСТРИМ""","ООО ""ВИНДСТРИМ""","61.10"
1147746422768,"7714933414","771401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИРКОМСВЯЗЬ""","ООО ""МИРКОМСВЯЗЬ""","61.10.1"
1147746424121,"7735601346","773501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ЗИКС""","ООО ""КОМПАНИЯ ЗИКС""","61.10"
1092204001614,"2204043373","220401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПУТНИКОВЫЙ КОНТРОЛЬ""","ООО ""СК""","61.10.1"
1092204005750,"2204047096","220401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЙСКАЯ ЦИФРОВАЯ СЕТЬ""","ООО ""БИЙСКАЯ ЦИФРОВАЯ СЕТЬ""","61.10"
1092205000250,"2205011568","222301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИНАР""","ООО ""БИНАР""","61.10"
1205200036909,"5262373930","526001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛАУДС-НН""","ООО ""КЛАУДС-НН""","61.10"
1061101036908,"1101125777","110101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРТЕЛЪ""","ООО ""КАРТЕЛЪ""","61.10.4"
1061101038349,"1101049156","110101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМИТЕЛ""","ООО ""КОМИТЕЛ""","61.1"
1133702003027,"3702691690","370201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК ПРОФИ""","ООО ""СК ПРОФИ""","61.1"
1133702007560,"3702695359","370201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИВТЕЛЕКОМ""","ООО ""ИВТЕЛЕКОМ""","61.10"
1195027002830,"5027272956","502701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОССВЯЗЬ""","ООО ""МОССВЯЗЬ""","61.10"
1195027002939,"5003132244","500301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИДНОЕ ТЕЛЕКОМ""","ООО ""ВИДНОЕ ТЕЛЕКОМ""","61.10.3"
1195027003467,"5003132332","500301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОСМОС-ТЕЛЕКОМ""","ООО ""КОСМОС-ТЕЛЕКОМ""","61.10"
1195027007141,"5003133135","500301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМЕГАКОННЕКТ""","ООО ""ОМЕГАКОННЕКТ""","61.10.3"
1026801059086,"6827001788","682701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАБЕЛЬНОЕ ТЕЛЕВИДЕНИЕ -3 ""","ООО ""КТВ-3""","61.10.5"
1135024003730,"5024136680","502401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛА ЛИНИИ""","ООО ""ГАЛА ЛИНИИ""","61.10.4"
1135024003839,"5024136754","502401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОБАИЛ-СИМ""","ООО ""МОБАИЛ-СИМ""","61.10.1"
1135024004268,"5024137155","502401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРО ТРЭК""","ООО ""ЕВРО ТРЭК""","61.1"
1135024005270,"5024138222","502401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАЦИОНАЛЬНАЯ ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ-РЕГИОН""","ООО ""НТК-РЕГИОН""","61.10"
1135024006281,"5024139184","502401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАС ПИК""","ООО ""ЧАС ПИК""","61.10"
1135024006369,"5024139258","502401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРАКТИВ ТЕХНОЛОДЖИС""","ООО ""ИНТЕРАКТИВ ТЕХНОЛОДЖИС""","61.10"
1127746647258,"7722784357","772201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕТКОМСВЯЗЬ""","ООО ""НЕТКОМСВЯЗЬ""","61.10"
1127746648787,"7703774106","770301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТА""","ООО ""ДЕЛЬТА""","61.1"
1192468022779,"","","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕМП""","ООО ""ТЕМП""","61.10"
1192468023571,"2466279898","246601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЛУАТАЦИОННО-ТЕХНИЧЕСКИЙ ЦЕНТР СВЯЗИ ""ЕНИСЕЙНЕФТЕГАЗ""","ООО ""ЭТЦС ""ЕНИСЕЙНЕФТЕГАЗ""","61.10"
1192468027586,"2461044645","246101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТЕРНАТИВНОЕ ВЫСОКОТЕХНОЛОГИЧНОЕ ПРЕДПРИЯТИЕ""","ООО ""АВП""","61.10"
1192468029632,"2465326496","246501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКАЙЛАЙН МОНИТОРИНГ""","ООО ""СКАЙЛАЙН МОНИТОРИНГ""","61.90"
1118609000256,"8609322591","860901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГРА-НАВИГАТОР""","ООО ""ЮГРА-НАВИГАТОР""","61.10"
1118610000156,"8610025667","861001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМАШНИЕ ОПТИЧЕСКИЕ СЕТИ""","ООО ""ДОМОСЕТИ""","61.10"
1118610001465,"8610025931","861001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГРАГАЗСЕРВИС""","ООО ""ЮГРАГАЗСЕРВИС""","61.20.2"
1086952006437,"6950079264","695001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКАЯ КАБЕЛЬНАЯ СЕТЬ""","ООО ""ГОРСЕТЬ""","61.10.3"
1086952008615,"6950080478","695001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТВЕРСКИЕ ВЕЩАТЕЛЬНЫЕ СИСТЕМЫ""","ООО ""ТВС""","61.10.4"
1197746213081,"9718133243","770101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОПАРТНЕР""","ООО ""ТЕХНОПАРТНЕР""","61.90"
1197746213972,"9701129873","770301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛУПО""","ООО ""ФЛУПО""","61.10"
1197746218526,"9723083301","772301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СДС ФЬЮЖН""","ООО ""СДС ФЬЮЖН""","61.10"
1111690054717,"1658127992","165801001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЭМЕРОН""","ООО ""КЭМЕРОН""","61.10"
1077847065999,"7802383150","780201001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРОСС-МОДУЛЬ""","ЗАО ""КРОСС-МОДУЛЬ""","61.10.1"
1057747318419,"7701603627","773101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОСТРОВ-ТЕЛЕКОМ""","ООО ""ОСТРОВ-ТЕЛЕКОМ""","61.1"
1057747333786,"7702568245","770201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АПТЕЛЕКОМ""","ООО ""АПТЕЛЕКОМ""","61.1"
1102635006099,"2634089732","263401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬЯНС ТЕЛЕКОМ+""","ООО ""АЛЬЯНС ТЕЛЕКОМ+""","61.10.1"
1102635010455,"2635136819","263601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИА-ИНФОРМ""","ООО ""МЕДИА-ИНФОРМ""","61.1"
1111690030473,"1657105890","165701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОСВЯЗЬИНЖИНИРИНГ""","ООО ""ТЕХНОСВЯЗЬИНЖИНИРИНГ""","61.1"
1111690030561,"1656059271","166001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОВЫЕ СЕТИ""","ООО ""ЦИФРОВЫЕ СЕТИ""","61.1"
1084706000543,"4706027844","470601001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБОРОНПОРТ""","ЗАО ""ОБОРОНПОРТ""","61.1"
1084706000609,"4706027890","470601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИНК""","ООО ""ЛИНК""","61.10"
1084706000664,"4706027957","470601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е-1""","ООО ""Е-1""","61.10.4"
1084706000928,"4706027964","470601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИШ ТЕЛЕКОМ""","ООО ""РИШ ТЕЛЕКОМ""","61.10.4"
1084707000938,"4707027420","470701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНФОРМАЦИОННЫЕ СЕТИ""","ООО ""ИНФОСЕТИ""","61.10"
1084707000960,"4707027445","470701001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРБАН-ТЕЛЕКОМ""","ЗАО ""УРБАН-ТЕЛЕКОМ""","61.10"
1192468031106,"2469004080","246901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕЛКОМ""","ООО ""ИНТЕЛКОМ""","61.10.3"
1192468032074,"2462066994","246201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕЛЕБИТ""","ООО ""ТЕЛЕБИТ""","61.10"
1192468032668,"2463118910","246301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕЛЕКОМПАНИЯ 8 КАНАЛ""","ООО ""ТК 8 КАНАЛ""","61.10"
1192468032888,"2463118934","246301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СВЯЗЬТЕХНОЛОГИЯ""","ООО ""СВЯЗЬТЕХНОЛОГИЯ""","61.10"
1192468034901,"2407014586","240701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНГАРТЕЛЕКОМ""","ООО ""АНГАРТЕЛЕКОМ""","61.10"
1192468035572,"2448006778","246001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРИАДНА""","ООО ""АРИАДНА""","61.30"
1192468037618,"2466281833","246601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОБИЛ ТЕЛЕКОМ 24""","ООО ""МОБИЛ ТЕЛЕКОМ 24""","61.10.1"
1157746166038,"7730069590","773001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТКРЫТИЕ ТЕЛЕКОМ""","ООО ""ОТКРЫТИЕ ТЕЛЕКОМ""","61.10"
1157746167809,"7743090303","774301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБУС""","ООО ""ГЛОБУС""","61.10.1"
1157746168227,"7731151008","773101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПЕРАНД""","ООО ""ОПЕРАНД""","61.10.1"
1067759112134,"7720567340","772001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАНТЕК""","ООО ""ЛАНТЕК""","61.10"
1067759119504,"7704622265","771401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛ СВЯЗЬ""","ООО ""УНИВЕРСАЛ СВЯЗЬ""","61.10.1"
1067759166331,"7734553379","773401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЭРМОБИЛКОМ""","ООО ""АЭРМОБИЛКОМ""","61.10"
1067759166947,"7728599745","772801001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИС""","ООО ""СТИС""","61.1"
1155836002585,"5836672653","583601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОМИР""","ООО ""ЦИФРОМИР""","61.10"
1212400009865,"2461047565","246101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОСЕТИ""","ООО ""МИКРОСЕТИ""","61.10.3"
1212400016619,"2463124487","246301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЭЛС""","ООО ""ВЭЛС""","61.90"
5117746067819,"7734671710","773401001","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕЛЕКОМ СОФТ""","АО ""ТЕЛЕКОМ СОФТ""","61.10.1"
1067604078190,"7604091130","760901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯРТЕЛЕСЕРВИС""","ООО ""ЯРТЕЛЕСЕРВИС""","61.1"
1067604083029,"7604095505","760401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕРХНЕВОЛЖСКИЙ ЭКОРЕСУРС""","ООО ""ВЕРХНЕВОЛЖСКИЙ ЭКОРЕСУРС""","61.2"
1067604085450,"7604097742","760401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМА""","ООО ""СИСТЕМА""","61.10.1"
1116732008051,"6732021465","673201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЬЮКОНТАКТ-СМОЛЕНСК""","ООО ""НЬЮКОНТАКТ-СМОЛЕНСК""","61.1"
1087746747153,"7728662475","772801001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКС ТЕЛЕКОМ""","ООО ""МИКС ТЕЛЕКОМ""","61.1"
1087746748990,"7733659894","773301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТРОНЕТ""","ООО ""ЦЕНТРОНЕТ""","61.1"
1087746751608,"7725640473","773101001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНТАЖНОЕ УПРАВЛЕНИЕ ""ЭЛЕКТРОСЕТЬСТРОЙ""","ЗАО ""МУ ""ЭЛЕКТРОСЕТЬСТРОЙ""","61.1"
1087746752488,"7703668718","770301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МК ПРОМ""","ООО ""МК ПРОМ""","61.10.1"
1087746753467,"7722651036","770701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОКСКОМ-ГОЛОСОВЫЕ КОММУНИКАЦИИ""","ООО ""ВОКСКОМ-ГОЛОСОВЫЕ КОММУНИКАЦИИ""","61.10"
1177847307560,"7840070221","470501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕНД""","ООО ""ТРЕНД""","61.10.1"
1177847307681,"7811663153","781101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЛАЙН""","ООО ""ПРОЛАЙН""","61.10"
1026501017982,"6509007063","650901001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОРСКАЯ КОМПАНИЯ САХАЛИН - КУРИЛЫ""","ЗАО ""МК САХАЛИН - КУРИЛЫ""","61.10.1"
1026501021282,"6509006045","650901001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХОЛМСКМОРСВЯЗЬСЕРВИС""","ЗАО ""ХОЛМСКМОРСВЯЗЬСЕРВИС""","61.10.9"
1026501021800,"6509003799","650901001","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ГОСУДАРСТВЕННАЯ АДМИНИСТРАЦИЯ ХОЛМСКОГО МОРСКОГО РЫБНОГО ПОРТА""","ФГУ ""ГА ХМРП""","61.10"
1132468005482,"2446032349","246501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОИННОВАЦИИ ЛИНК""","ООО ""ЭНЕРГОИННОВАЦИИ ЛИНК""","61.90"
1132468005570,"2462224802","246201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ МЕДИА""","ООО ""СМАРТ МЕДИА""","61.10.4"
1132468006461,"2465286042","246501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕНИСЕЙИНФОРМ""","ООО ""ЕНИСЕЙИНФОРМ""","61.10.1"
1022201516160,"2224076673","222501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИАНЭТ""","ООО ""ДИАНЭТ""","61.10"
1181690031401,"1655401196","165501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЕРА""","ООО ""ИТЕРА""","61.10.1"
1165001054030,"5001110830","500101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГ-ОН""","ООО ""ТОРГ-ОН""","61.10"
1165001054261,"5001111094","500101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУЛЬТИКАБЕЛЬНЫЕ СЕТИ БАЛАШИХИ""","ООО ""МКС-БАЛАШИХА""","61.10"
1165003050035,"5003116926","500301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОПОРА СВЯЗИ""","ООО ""ОПОРА СВЯЗИ""","61.10.1"
1165003050145,"5003117013","500301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛДЛАЙН""","ООО ""ГОЛДЛАЙН""","61.10.9"
1103460003173,"3445111448","344501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР ШАНС""","ООО ""ИНТЕР ШАНС""","61.10.4"
1187746049259,"7743240816","774301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВАТРО""","ООО ""КВАТРО""","61.20"
1187746056035,"7722433239","771901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСВ ГРУПП""","ООО ""МСВ ГРУПП""","61.10"
1107746476012,"7721695908","772101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС ТЕЛЕКОМ""","ООО ""БИЗНЕС ТЕЛЕКОМ""","61.10"
1107746478751,"7718810269","236601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРАНЖ ТЕЛЕКОМ""","ООО ""ОРАНЖ ТЕЛЕКОМ""","61.1"
1107746482612,"7724751029","772401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕГРАЛ""","ООО ""ИНТЕГРАЛ""","61.10.4"
1107746484031,"7727720893","771501001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИ-ПРАЙМ""","ООО ""БИ-ПРАЙМ""","61.10"
1197746679338,"9710079650","771001001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""О1 ТЕЛЕКОМ""","ООО ""О1 ТЕЛЕКОМ""","61.10"
1197746681461,"7724493152","772401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОД ТЕЛЕКОМ""","ООО ""ГОРОД ТЕЛЕКОМ""","61.10"
1197746681879,"7708364833","770801001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СПЕЦТЕЛЕКОМ-ЮГ","ООО СПЕЦТЕЛЕКОМ-ЮГ","61.10"
5177746270521,"7731393840","773101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЙНФЭКТОРИ""","ООО ""МФ""","61.10"
1067746250110,"7702593386","772801001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОННЕКТПРО""","ООО ""КОННЕКТПРО""","61.10.9"
1067746251165,"7705713540","773601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСЛИНКРУС""","ООО ""ТРАНСЛИНКРУС""","61.10.1"
1104217004231,"4217125549","421701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРАЛЛЕЛЬ""","ООО ""ПАРАЛЛЕЛЬ""","61.10.4"
1104217006288,"4217127560","421701001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АБСОЛЮТИНФО""","ООО ""АБСОЛЮТИНФО""","61.10.4"
1095009001174,"5009069126","500901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСМЕДИА""","ООО ""ТРАНСМЕДИА""","61.10"
1063667237820,"3666134757","366601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОРОНЕЖТЕЛЕКОМСЕРВИС""","ООО ""ВТС""","61.10.1"
1175476027650,"5401971947","540101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАРАНТ-СИБИРЬ""","ООО ""ГАРАНТ-СИБИРЬ""","61.90"
1038900600485,"8902009969","890201001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯМАЛ-РАДИОСВЯЗЬ""","ООО ""ЯРС""","61.10.9"
1107746409594,"7719750365","771901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЛВИТ""","ООО ""ВИЛВИТ""","61.10"
